symbol,prediction,Beta,HML_2,HML_3,HML_5,STR_1,STR_6,UMD_2_12,UMD_2_6,UMD_7_12,VOL_0.5,VOL_1,VOL_2,VOL_3,VOL_5,country_Other,country_US,sectorKey_communication-services,sectorKey_consumer-cyclical,sectorKey_consumer-defensive,sectorKey_energy,sectorKey_financial-services,sectorKey_healthcare,sectorKey_technology,industryKey_auto-manufacturers,industryKey_banks-diversified,industryKey_consumer-electronics,industryKey_credit-services,industryKey_discount-stores,industryKey_drug-manufacturers-general,industryKey_entertainment,industryKey_internet-content-information,industryKey_internet-retail,industryKey_oil-gas-integrated,industryKey_semiconductor-equipment-materials,industryKey_semiconductors,industryKey_software-infrastructure
XOM,0.1255,0.0625,-0.0088,0.0264,0.0207,-0.0235,-0.0047,0.0124,0.0081,-0.0135,-0.0587,-0.1361,-0.0308,-0.009,-0.0348,0.0002,0.0006,0.0008,0.0,0.0,0.0009,-0.0004,-0.001,-0.0015,0.0,0.0,-0.0001,0.0009,0.0,-0.0029,0.0005,0.0,-0.0,0.0,0.0,-0.0001,-0.0013
V,0.1246,0.0409,-0.0101,-0.0112,0.0076,0.0995,0.0024,0.0103,-0.046,-0.011,-0.0533,-0.0947,-0.0287,-0.0123,-0.0527,0.0002,0.0003,0.0013,0.0,0.0,-0.0,-0.005,-0.001,-0.0059,0.0,0.0,-0.0001,-0.021,0.0,-0.0029,0.0004,0.0,-0.0,0.0,0.0,-0.0001,-0.001
TSM,0.1225,-0.1083,-0.0258,-0.0139,0.0346,0.0123,0.0069,-0.0105,0.0232,-0.0427,-0.0527,0.028,-0.0238,-0.0237,0.0075,-0.0032,-0.0026,0.0014,0.0001,0.0,-0.0002,0.0003,-0.0028,0.0033,0.0,0.0,-0.0,0.001,0.0,-0.0044,0.0004,0.0,-0.0,0.0,0.0,0.0004,-0.0011
AAPL,0.1199,-0.0419,-0.009,-0.0282,0.0182,-0.0139,-0.0013,-0.0023,0.0299,-0.0213,-0.0744,-0.054,-0.0132,0.024,-0.0141,0.0002,0.0002,0.0008,0.0,0.0,-0.0001,0.0005,-0.001,0.0034,0.0,0.0,0.0011,0.001,0.0,-0.0029,0.0006,0.0,-0.0002,0.0,0.0,-0.0001,-0.0009
JNJ,0.1195,0.074,-0.0204,-0.002,0.0144,-0.0501,-0.007,-0.0042,0.0362,-0.0332,-0.0395,-0.1174,-0.0214,-0.0108,-0.0413,0.0002,0.0002,0.001,0.0,0.0,-0.0001,-0.0009,0.007,-0.0017,0.0,0.0,-0.0001,0.0009,0.0,0.0182,0.0005,0.0,-0.0002,0.0,0.0,-0.0001,-0.0012
AMZN,0.0856,-0.1251,-0.0037,0.0046,0.0519,-0.0614,-0.0143,-0.0095,-0.0597,-0.0068,-0.0558,0.0519,0.0002,-0.0017,0.0064,0.0005,0.0006,0.0017,-0.0003,0.0,-0.0002,-0.0006,-0.0028,-0.0072,0.0,0.0,-0.0,0.0007,0.0,-0.0043,0.0005,0.0,0.0036,0.0,0.0,-0.0003,-0.0021
META,0.0775,-0.0262,-0.008,-0.0358,0.0274,-0.0044,-0.0221,0.0135,-0.0605,-0.0728,-0.0587,0.0428,-0.0021,-0.0271,0.0167,0.0005,0.0006,-0.0118,0.0,0.0,-0.0002,0.0003,-0.0028,-0.0064,0.0,0.0,-0.0,0.0017,0.0,-0.0044,0.0009,0.0,-0.0002,0.0,0.0,-0.0001,-0.002
MSFT,0.0406,0.0384,-0.0107,-0.0228,0.0128,-0.0264,0.0094,0.0056,-0.0384,-0.0394,-0.052,-0.108,-0.0255,0.0105,-0.0556,0.0002,0.0003,0.0014,0.0,0.0,-0.0,-0.0003,-0.001,0.0126,0.0,0.0,-0.0001,0.0011,0.0,-0.0029,0.0005,0.0,-0.0002,0.0,0.0,-0.0001,0.0125
NVDA,0.0282,-0.1213,0.0045,-0.0514,-0.0251,-0.0599,0.0199,-0.012,-0.0395,-0.0638,-0.0546,0.0795,0.0597,-0.0356,0.0058,0.0003,0.0003,0.0021,0.0,0.0,-0.0002,-0.0013,-0.0019,0.0068,0.0,0.0,-0.0,0.0009,0.0,-0.0044,0.0004,0.0,-0.0002,0.0,0.0,0.0015,-0.0009
MA,0.0183,0.0395,-0.0144,-0.0166,0.0089,-0.0028,-0.0039,0.0088,-0.0536,-0.0104,-0.0509,-0.1135,-0.0297,0.0011,-0.0568,0.0002,0.0003,0.0013,0.0,0.0,-0.0,0.0093,-0.001,-0.0059,0.0,0.0,-0.0001,-0.0056,0.0,-0.0029,0.0004,0.0,-0.0002,0.0,0.0,-0.0001,-0.0018
